Match_Id,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Role_Desc,Player_team,Opposit_Team,Season_year,is_manofThematch,Age_As_on_match,IsPlayers_Team_won,Batting_Status,Bowling_Status,Player_Captain,Opposit_captain,Player_keeper,Opposit_keeper,match_date,City_Name,Toss_Winner,Toss_Name,Win_Type,Outcome_Type,Win_Margin,Venue_Name
335987,6,R Dravid,01-11-1973,Right-hand bat,Right-arm offbreak,India,Captain,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,35,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,7,W Jaffer,2/16/1978,Right-hand bat,Right-arm offbreak,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,30,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,8,V Kohli,11-05-1988,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,20,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,9,JH Kallis,10/16/1975,Right-hand bat,Right-arm fast-medium,South Africa,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,33,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,10,CL White,8/18/1983,Right-hand bat,Legbreak googly,Australia,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,25,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,11,MV Boucher,12-03-1976,Right-hand bat,Right-arm medium,South Africa,Keeper,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,32,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,12,B Akhil,10-07-1977,Right-hand bat,Right-arm medium-fast,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,31,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,13,AA Noffke,4/30/1977,Right-hand bat,Right-arm fast-medium,Australia,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,31,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,14,P Kumar,10-02-1986,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,22,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,15,Z Khan,10-07-1978,Right-hand bat,Left-arm fast-medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,30,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,16,SB Joshi,06-06-1970,Left-hand bat,Slow left-arm orthodox,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,38,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,1,SC Ganguly,07-08-1972,Left-hand bat,Right-arm medium,India,Captain,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,36,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,2,BB McCullum,9/27/1981,Right-hand bat,Right-arm medium,New Zealand,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,1,27,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
335987,3,RT Ponting,12/19/1974,Right-hand bat,Right-arm medium,Australia,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,0,34,1,,,SC Ganguly,R Dravid,WP Saha,MV Boucher,4/18/2008,Bangalore,Royal Challengers Bangalore,field,runs,Result,140,M Chinnaswamy Stadium
